,code,industry,price,pe-ratio,price-fcf,price-book,price-sales
318,MHK,Consumer Discretionary,182.98,49.06,9.36,1.6,1.37
319,TAP,Consumer Staples,47.01,0.0,7.96,0.81,1.06
320,MDLZ,Consumer Staples,54.33,21.91,25.17,2.79,2.95
321,MNST,Consumer Staples,88.24,39.57,41.25,10.06,10.73
322,MCO,Financials,278.55,36.03,28.24,31.0,9.82
323,MS,Financials,79.88,17.25,0.0,1.4,2.69
324,MOS,Materials,32.12,0.0,24.39,1.4,1.41
325,MSI,Information Technology,181.08,33.23,21.71,0.0,4.26
326,MSCI,Financials,417.23,58.6,46.39,0.0,20.85
327,NDAQ,Financials,141.99,33.41,24.02,3.87,4.21
328,NTAP,Information Technology,71.57,23.47,15.46,42.94,2.94
329,NFLX,Communication Services,553.41,90.87,130.3,22.15,10.05
330,NWL,Consumer Discretionary,24.39,0.0,8.71,2.76,1.1
331,NEM,Materials,57.08,22.92,14.33,1.95,4.0
332,NWSA,Communication Services,23.81,0.0,19.35,1.55,1.61
333,NWS,Communication Services,23.24,0.0,18.89,1.51,1.57
334,NEE,Utilities,73.76,49.59,117.49,3.22,8.07
335,NLSN,Industrials,24.32,0.0,8.29,3.91,1.38
336,NKE,Consumer Discretionary,135.65,77.51,60.07,20.08,5.66
337,NI,Utilities,22.18,0.0,18.46,1.49,1.82
338,NSC,Industrials,261.78,33.31,27.13,4.46,6.87
339,NTRS,Financials,100.27,23.16,11.68,1.8,3.33
340,NOC,Industrials,301.73,17.7,16.37,4.76,1.37
341,NLOK,Information Technology,20.55,21.41,0.0,0.0,5.05
342,NCLH,Consumer Discretionary,31.27,0.0,0.0,2.11,2.45
343,NOV,Energy,15.87,0.0,6.26,1.11,1.0
344,NRG,Utilities,38.42,2.45,5.83,4.85,1.04
345,NUE,Materials,63.03,59.46,15.33,1.78,0.95
346,NVDA,Information Technology,579.96,94.92,85.86,23.41,24.52
347,NVR,Consumer Discretionary,4699.97,20.48,20.23,5.6,2.44
348,ORLY,Consumer Discretionary,455.87,25.13,16.52,47.1,2.92
349,OXY,Energy,28.16,0.0,0.0,1.32,1.26
350,ODFL,Industrials,217.31,53.39,39.49,8.04,6.41
351,OMC,Communication Services,70.88,28.02,9.29,4.26,1.16
352,OKE,Energy,46.71,32.21,0.0,3.38,2.29
353,ORCL,Information Technology,64.70,19.61,16.76,22.17,5.22
354,OTIS,Industrials,64.35,,,0.0,
355,PCAR,Industrials,94.28,25.21,16.79,3.15,1.75
356,PKG,Materials,133.43,37.69,17.74,3.95,1.89
357,PH,Industrials,297.07,27.06,15.35,5.38,2.86
358,PAYX,Information Technology,93.36,31.86,28.38,11.65,8.49
359,PAYC,Information Technology,386.97,157.3,169.45,34.08,26.81
360,PYPL,Information Technology,266.07,75.16,61.83,15.54,14.72
361,PNR,Industrials,57.15,26.83,18.7,4.51,3.17
362,PBCT,Financials,19.14,22.52,9.34,1.04,3.51
363,PEP,Consumer Staples,132.09,34.85,28.42,13.44,2.61
364,PKI,Health Care,128.78,41.54,26.46,4.46,3.82
365,PRGO,Health Care,41.66,0.0,12.25,0.98,1.12
366,PFE,Health Care,33.75,20.96,18.37,2.86,3.99
367,PM,Consumer Staples,87.56,16.94,14.81,0.0,4.75
368,PSX,Energy,87.25,0.0,0.0,1.71,0.6
369,PNW,Utilities,73.06,13.0,0.0,1.38,2.35
370,PXD,Energy,150.06,147.12,56.13,2.12,3.29
371,PNC,Financials,178.48,12.99,13.44,1.42,4.81
372,POOL,Consumer Discretionary,328.39,43.55,31.85,22.37,3.41
373,PPG,Materials,136.89,30.76,17.83,5.57,2.35
374,PPL,Utilities,27.49,17.85,0.0,1.54,2.78
375,PFG,Financials,60.45,11.99,4.61,0.99,1.13
376,PG,Consumer Staples,127.66,33.42,20.53,6.48,4.52
377,PGR,Financials,87.74,12.9,8.25,2.84,1.65
378,PLD,Real Estate,103.24,51.11,46.12,2.1,17.52
379,PRU,Financials,89.91,0.0,2.15,0.53,0.64
380,PEG,Utilities,56.05,14.87,91.08,1.78,2.94
381,PSA,Real Estate,242.61,37.44,25.7,5.01,14.74
382,PHM,Consumer Discretionary,46.92,9.04,7.32,1.9,1.15
383,PVH,Consumer Discretionary,102.29,0.0,10.11,1.56,0.97
384,QRVO,Information Technology,179.15,73.42,21.61,4.51,5.61
