EL,Consumer Staples,38.84,1.43,1.73,1.52,-903.52
HWM,Industrials,nan,nan,0.32,nan,nan
LIN,Materials,1.25,1.18,0.25,1.01,176.76
IPG,Communication Services,0.69,0.26,0.33,0.23,175.87
NFLX,Communication Services,1.46,4.21,1.97,2.02,174.04
MLM,Materials,0.63,1.09,0.33,0.91,173.3
ORLY,Consumer Discretionary,0.41,0.55,4.34,0.61,172.02
NKE,Consumer Discretionary,1.31,2.08,1.92,1.22,171.77
IFF,Materials,0.86,0.94,0.22,0.64,171.74
LYB,Materials,0.96,0.8,0.42,0.35,171.16
LOW,Consumer Discretionary,0.41,0.44,2.99,0.32,170.76
LVS,Consumer Discretionary,0.0,0.0,1.19,2.62,170.5
MCD,Consumer Discretionary,0.77,1.25,0.0,1.7,169.87
LEG,Consumer Discretionary,0.66,0.36,0.4,0.28,169.2
LKQ,Consumer Discretionary,0.32,0.38,0.2,0.21,168.29
MGM,Consumer Discretionary,0.0,0.0,0.14,0.72,168.15
LEN,Consumer Discretionary,0.18,0.22,0.14,0.25,168.05
LB,Consumer Discretionary,0.0,0.26,0.0,0.24,167.55
MCHP,Information Technology,2.31,0.81,0.75,1.66,165.92
LUMN,Communication Services,0.19,0.14,0.09,0.13,161.71
MTD,Health Care,0.76,1.47,8.83,1.88,161.67
IPGP,Information Technology,1.85,1.72,0.46,2.16,160.7
MAS,Industrials,0.23,0.57,3.06,0.41,160.06
LLY,Health Care,0.73,1.14,3.51,1.53,159.82
ISRG,Health Care,1.38,2.61,0.83,4.35,158.95
JNJ,Health Care,0.54,0.78,0.61,1.08,158.89
MRK,Health Care,0.34,0.94,0.59,0.82,158.89
MCK,Health Care,0.24,0.2,0.0,0.02,158.7
LYV,Communication Services,0.0,0.0,6.91,0.84,158.66
LMT,Industrials,0.31,0.49,1.41,0.3,158.63
MDT,Health Care,0.7,1.07,0.28,1.13,158.59
LH,Health Care,0.64,0.53,0.27,0.36,158.52
IQV,Health Care,2.14,0.91,0.52,0.66,157.53
KSU,Industrials,0.53,1.1,0.4,1.58,156.8
JBHT,Industrials,0.72,1.0,0.57,0.33,154.4
LHX,Industrials,0.72,1.04,0.17,0.46,154.34
KLAC,Information Technology,0.92,0.97,1.58,1.72,154.05
MA,Information Technology,0.85,1.55,5.17,4.5,153.69
INTU,Information Technology,0.89,1.47,1.88,2.85,153.32
JKHY,Information Technology,0.83,1.09,0.68,1.39,152.86
MXIM,Information Technology,0.8,1.2,1.25,2.32,152.71
KEYS,Information Technology,0.7,0.99,0.73,1.31,151.88
J,Industrials,1.01,0.52,0.22,0.22,151.04
JNPR,Information Technology,0.51,0.52,0.16,0.37,150.76
LDOS,Information Technology,0.4,0.41,0.36,0.26,149.96
LRCX,Information Technology,0.46,1.4,1.42,1.52,149.44
JCI,Industrials,1.42,0.62,0.2,0.39,147.03
KHC,Consumer Staples,0.0,0.35,0.08,0.36,143.91
KR,Consumer Staples,0.15,0.23,0.24,0.04,139.84
SJM,Consumer Staples,0.24,0.32,0.14,0.33,137.28
KMB,Consumer Staples,0.31,0.58,4.64,0.48,135.78
K,Consumer Staples,0.31,0.5,0.51,0.3,135.72
IRM,Real Estate,1.13,0.45,0.9,0.46,135.6
KIM,Real Estate,0.16,0.59,0.13,1.48,135.56
LW,Consumer Staples,0.63,0.89,2.55,0.66,127.53
MKC,Consumer Staples,0.67,0.92,0.52,0.83,126.35
