code,industry,stockratio,initialPE,initialFCF,initialPB,initialPS
HSIC,Health Care,112.81855988801442,26.13,26.21,3.09,0.95
HSY,Consumer Staples,127.73350244636012,30.73,11.38,10.83,1.32
HES,Energy,79.92731343072826,14.85,191.71,2.8,0.86
HFC,Energy,69.48723774143083,4.9,6.26,2.6,0.34
HOLX,Health Care,55.639587525758024,0.0,30.41,1.89,4.94
HD,Consumer Discretionary,112.7204062140769,9.34,12.83,2.17,0.58
HON,Industrials,89.05454491187345,13.79,10.41,3.53,0.98
HRL,Consumer Staples,137.30507176830596,12.97,17.99,2.03,0.63
HST,Real Estate,97.0739899812417,8.41,7.72,1.08,1.15
HPQ,Information Technology,122.93356951471463,6.59,6.69,1.18,0.46
HUM,Health Care,76.74328257661664,14.09,11.62,2.92,0.46
HBAN,Financials,35.606894847223714,21.41,0.0,0.62,0.85
IEX,Industrials,117.68228610073083,15.51,13.82,2.06,1.78
IDXX,Health Care,120.05995368824327,40.02,54.0,8.16,4.1
ITW,Industrials,125.2582965240754,11.48,9.99,2.19,1.34
ILMN,Health Care,136.35996544592876,0.0,100.3,7.97,9.08
INCY,Health Care,119.3755797960774,0.0,0.0,-5.33,24.55
INTC,Information Technology,107.15267877997641,15.15,13.91,2.43,2.76
ICE,Financials,76.81163107116124,51.97,50.99,8.29,21.67
IBM,Information Technology,165.48521864070403,10.05,8.83,3.54,1.07
IP,Materials,118.20808526162033,7.42,14.47,0.98,0.4
IPG,Communication Services,119.86048565087573,30.07,20.11,1.22,0.45
IFF,Materials,118.84238713713906,12.81,12.82,4.77,1.42
INTU,Information Technology,119.00091692623418,21.84,20.61,5.25,3.73
ISRG,Health Care,123.70618532516619,87.53,69.37,13.98,20.9
IVZ,Financials,103.71486051353145,14.15,9.36,1.3,2.14
IPGP,Information Technology,110.26556139171,29.99,0.0,4.35,4.79
IRM,Real Estate,80.93851455655964,26.12,34.14,2.19,1.45
JKHY,Information Technology,129.1779506129786,17.16,16.72,2.89,2.61
J,Industrials,51.80807292913047,35.02,57.13,5.61,1.27
JBHT,Industrials,158.80481896365012,15.39,25.81,8.66,0.95
SJM,Consumer Staples,150.6932690689972,11.26,13.51,1.03,0.86
JNJ,Health Care,135.1625611894133,12.55,10.57,2.99,2.18
JCI,Industrials,123.82071613733228,0.0,2.45,0.4,0.34
JPM,Financials,132.28407864572293,7.14,0.0,0.85,0.94
JNPR,Information Technology,105.82892380375564,45.83,26.14,2.82,5.91
KSU,Industrials,127.72571580015735,19.79,0.0,1.38,1.67
K,Consumer Staples,141.64078477351913,12.71,13.56,5.4,1.19
KEY,Financials,33.435865083907615,7.23,0.0,0.84,0.88
KMB,Consumer Staples,131.1937189928079,10.31,12.25,3.4,1.04
KIM,Real Estate,56.14611561295334,11.64,0.0,1.25,6.77
KLAC,Information Technology,103.30851970609216,11.33,8.52,1.62,1.93
KR,Consumer Staples,106.60873873900907,13.13,21.91,3.26,0.23
LB,Consumer Discretionary,114.8955524645203,5.13,123.38,1.68,0.36
LH,Health Care,130.49007262542835,19.22,16.12,4.86,2.26
LRCX,Information Technology,119.45287329811758,8.59,8.45,3.13,1.98
LVS,Consumer Discretionary,19.094836780235642,208.57,0.0,10.82,8.3
LEG,Consumer Discretionary,174.25014538720797,0.0,3.17,0.8,0.43
LDOS,Information Technology,118.33162555531673,0.0,23.9,0.92,0.67
LEN,Consumer Discretionary,110.68915955836091,0.0,5.03,0.59,0.22
LLY,Health Care,97.26485255311059,12.35,8.89,2.81,1.96
LNC,Financials,59.23430486130981,10.25,6.35,1.02,1.3
LIN,Materials,124.34980859346003,18.68,37.74,4.15,2.34
LYV,Communication Services,77.18379395579448,0.0,0.0,1.25,0.28
LKQ,Consumer Discretionary,122.7966554681148,38.22,152.1,3.32,2.18
LMT,Industrials,99.08036917000268,9.84,9.06,2.92,0.71
L,Financials,96.59012202969424,12.74,8.57,1.4,1.84
LOW,Consumer Discretionary,99.11119562815735,10.72,49.87,1.94,0.67
LUMN,Communication Services,134.51839877689093,3.87,2.31,0.46,0.62
MTB,Financials,118.28525852544914,9.28,4.75,0.93,1.36
MRO,Energy,71.43622673309893,4.97,8.65,1.05,0.31
MKTX,Financials,143.479383917722,36.49,15.57,2.07,4.04
MAR,Consumer Discretionary,108.18508138831619,15.95,12.93,6.94,0.86
MMC,Financials,117.68323850789237,4.24,0.0,1.28,0.95
MLM,Materials,91.8314577067862,18.19,35.99,4.85,2.2
MAS,Industrials,92.98665557330949,14.18,5.03,1.29,0.47
MA,Information Technology,157.69376934549553,25.36,44.64,8.79,6.78
MKC,Consumer Staples,129.77926819667528,16.61,25.99,3.4,1.32
MXIM,Information Technology,111.1726036212866,15.36,23.72,1.74,2.66
MCD,Consumer Discretionary,148.68899344582096,20.34,16.57,3.06,2.12
MCK,Health Care,127.9787257351091,18.69,31.44,2.6,0.18
MDT,Health Care,102.81243263054198,14.58,14.53,3.56,3.32
MRK,Health Care,91.23672099252886,24.07,13.2,4.31,3.26
MET,Financials,78.98100311036148,6.88,2.91,0.78,0.61
MTD,Health Care,121.49792261158889,24.06,23.17,6.98,2.42
MGM,Consumer Discretionary,14.29498238809308,15.08,0.0,3.84,3.06
MCHP,Information Technology,135.29061921008366,12.97,11.65,3.33,4.35
MU,Information Technology,119.03034517579407,0.0,0.0,0.84,1.13
MSFT,Information Technology,117.54961038269789,15.13,13.13,7.22,4.45
MAA,Real Estate,168.03895343792874,24.29,0.0,1.57,1.8
MHK,Consumer Discretionary,84.25529351953944,7.22,7.1,1.08,0.67
TAP,Consumer Staples,120.0297797190391,14.04,37.1,0.97,1.12
MDLZ,Consumer Staples,119.15911944031892,9.41,10.53,0.86,0.69
MNST,Consumer Staples,114.20543987344828,29.33,33.28,9.48,4.83
MCO,Financials,101.74889620511456,11.65,10.11,-9.61,3.65
MS,Financials,77.35312837227782,0.0,7.43,0.0,2.66
MOS,Materials,107.0284450338954,0.0,30.58,4.81,4.56
MSI,Information Technology,65.56969613147028,0.0,40.78,1.1,0.47
NDAQ,Financials,52.74580064275859,12.22,41.6,2.66,2.64
NTAP,Information Technology,113.12426304010297,36.34,13.54,5.72,3.3
NFLX,Communication Services,272.7434404240872,30.94,7.87,4.02,1.53
NWL,Consumer Discretionary,82.74263472695361,10.6,10.34,2.32,0.79
NEM,Materials,129.99795589532258,0.0,0.0,2.38,3.28
NEE,Utilities,109.70571543555221,13.88,0.0,1.73,1.19
NKE,Consumer Discretionary,134.7535550663651,16.32,14.34,3.66,1.62
NI,Utilities,122.58993486876568,3.58,0.0,0.23,0.15
NSC,Industrials,144.36145609872787,10.0,13.12,1.44,1.56
NTRS,Financials,93.61820586016508,17.61,16.09,2.79,2.34
NOC,Industrials,99.40239883677953,10.25,8.43,1.0,0.62
NLOK,Information Technology,146.0339661019826,17.16,4.1,0.5,1.05
NOV,Energy,81.05640374880997,14.98,21.47,3.0,2.04
NRG,Utilities,71.75882326114295,18.7,10.37,1.54,1.76
NUE,Materials,110.75039630032424,7.89,8.18,2.2,0.7
NVDA,Information Technology,44.51770211462423,28.07,18.81,7.3,5.19
