code,industry,stockratio,initialPE,initialFCF,initialPB,initialDE
DOV,Industrials,126.29,8.17,8.76,1.89,1.36
DTE,Utilities,127.86,16.75,0.0,1.39,2.26
DUK,Utilities,114.31,14.1,0.0,0.99,2.05
DRE,Real Estate,131.39,9.88,3.89,1.89,1.15
EMN,Materials,115.24,10.29,8.94,2.14,2.88
ETN,Industrials,134.83,10.35,10.77,1.32,1.04
EBAY,Consumer Discretionary,108.85,18.66,9.55,4.81,1.7
ECL,Materials,104.51,32.61,27.2,4.59,1.67
EIX,Utilities,125.84,16.0,57.46,1.21,2.75
EW,Health Care,119.48,35.18,38.92,6.8,0.62
EA,Communication Services,115.44,35.74,23.25,7.06,1.15
EMR,Industrials,121.89,10.78,14.01,3.49,1.88
ENPH,Information Technology,28.99,0.0,0.0,3.88,2.99
ETR,Utilities,113.35,0.0,7.65,1.04,3.66
EOG,Energy,145.1,0.0,0.0,2.8,1.08
EFX,Industrials,108.12,29.5,20.39,5.3,0.92
EQIX,Real Estate,121.58,130.66,0.0,6.21,2.77
EQR,Real Estate,95.68,25.37,32.88,2.03,1.16
ESS,Real Estate,100.6,59.47,126.28,2.14,0.9
EL,Consumer Staples,88.75,26.77,22.65,8.53,1.37
EVRG,Utilities,133.84,18.66,344.59,1.5,1.92
ES,Utilities,112.58,15.9,0.0,1.34,1.95
RE,Financials,121.98,7.38,6.46,0.92,1.7
EXC,Utilities,133.77,9.1,149.65,0.79,2.5
EXPE,Consumer Discretionary,92.62,20.7,27.46,3.63,2.14
EXPD,Industrials,120.16,17.62,15.34,4.52,0.51
EXR,Real Estate,91.49,46.61,0.0,3.85,1.56
XOM,Energy,120.77,15.71,65.85,1.42,0.91
FFIV,Information Technology,150.36,18.97,10.84,5.28,0.83
FB,Communication Services,110.74,81.77,38.3,6.71,0.12
FAST,Industrials,119.39,19.83,25.31,5.64,0.41
FRT,Real Estate,100.49,41.19,99.17,4.85,1.75
FDX,Industrials,122.81,40.21,63.17,2.74,1.56
FIS,Information Technology,127.59,25.91,23.0,1.96,1.79
FITB,Financials,138.88,8.36,6.25,0.84,7.89
FE,Utilities,102.64,18.55,13.88,0.87,3.19
FRC,Financials,141.74,20.04,16.09,1.63,9.34
FISV,Information Technology,117.06,30.59,20.75,7.75,2.51
FLT,Information Technology,99.74,37.12,18.88,4.67,1.79
FLIR,Information Technology,131.87,15.07,16.3,2.17,0.46
FLS,Industrials,116.89,19.14,19.04,2.97,1.98
FMC,Materials,147.68,10.12,0.0,2.57,2.32
F,Consumer Discretionary,92.84,6.5,4.75,1.51,6.85
FTNT,Information Technology,97.34,623.4,22.39,7.07,1.37
FBHS,Industrials,98.14,26.99,28.01,3.39,0.99
BEN,Financials,110.52,9.25,9.29,1.39,0.3
FCX,Materials,196.4,0.0,0.0,0.68,2.87
GPS,Consumer Discretionary,106.07,9.52,9.73,3.6,1.99
GRMN,Consumer Discretionary,137.59,13.1,28.9,1.78,0.35
IT,Information Technology,112.25,43.82,25.76,-56.41,-17.38
GD,Industrials,129.38,13.47,19.63,3.57,1.98
GE,Industrials,105.37,0.0,17.1,2.54,3.92
GIS,Consumer Staples,109.47,19.77,13.66,5.5,3.18
GM,Consumer Discretionary,108.23,4.73,0.0,1.05,3.82
GPC,Consumer Discretionary,115.1,15.92,10.65,3.51,1.58
GILD,Health Care,72.92,7.23,6.39,6.41,1.71
GL,Financials,131.22,13.12,6.4,1.65,3.9
GPN,Information Technology,98.74,0.0,21.94,9.83,4.75
GS,Financials,135.9,13.74,9.67,0.8,8.93
GWW,Industrials,118.05,15.77,17.67,4.8,1.49
HAL,Energy,162.87,0.0,29.59,1.71,1.38
HBI,Consumer Discretionary,75.09,23.83,71.3,7.75,3.39
HIG,Financials,112.6,9.84,6.75,0.89,11.94
HAS,Consumer Discretionary,119.23,16.39,17.26,4.39,1.84
HCA,Health Care,110.25,13.15,11.87,-4.33,-6.42
PEAK,Real Estate,90.99,0.0,31.27,1.29,1.2
HSIC,Health Care,96.61,27.75,24.47,4.52,1.25
HSY,Consumer Staples,119.62,34.29,19.4,16.39,4.1
HES,Energy,131.85,0.0,0.0,0.62,0.67
HLT,Consumer Discretionary,129.64,14.61,6.11,3.42,3.31
HFC,Energy,86.58,8.62,19.0,1.03,0.44
HOLX,Health Care,104.46,59.52,15.51,5.06,2.55
HD,Consumer Discretionary,101.43,20.52,17.99,18.24,4.8
HON,Industrials,115.83,14.91,15.96,3.77,1.68
HRL,Consumer Staples,116.57,24.04,19.06,4.03,0.53
HST,Real Estate,130.31,16.9,12.12,1.32,0.64
HPQ,Information Technology,123.94,4.2,4.93,0.67,2.8
